tweet,label
0,"@smerconish y r ppl surprised 'bout the U.S. supplying intel to Ukrain? Who actually believed Ukrain could do all those things WITHOUT help? We SHOULD be supplying Intel to help end this war ASAP. Putin can't handle Ukrain, he's NOT gonna directly pick a fight with us.",0
1,"NOW! SERIOUSLY!!! Please bring back the dead when you talk to Mr Putin. Comedian, who made his country the audience. Please also take #potus #UkraineWar #Ukrainian #ukrain #war #eu #Eurovision #EUROVISION #NATO #RussiaUkraineWar #russia https://t.co/uvOQD1GwuO",-1
2,"@Klitschko Ukrain has to win this war, the rest of the world has to support ukrain with all their recources. If putin winns this war, he will never stop.",1
3,"TIME CHANGES RELEVANCE:
People Must Seamlessly Update!
1925, 1939,2016, 2020, 2024?
In 2022:
Which Is More Relevant:
NATO or UNO?
Trump, Modi, Putin or Biden?
USA,Russia,China or Ukrain?
Gas, Oil, Food Stuff or ARMS?
Naval, Air, Land or Space?
PEACE or WAR?
PEOPLEs LIVES OR EGO",0
4,"@NikaMelkozerova Russia is an INSANE and MURDEROUS bully.

The ukrain war revealed that to the world. 

And now, everyone (except dumb leaders) are breaking bonds/trades with Russia and won't come near. 

Way to destroy your own nation and make it hated worldwide, Putin !",-1
5,"@KyivIndependent Fu*k Russia,
Beware Putin, 
after you lost the war, Ukrain will annex Russia.

hahaha",-1
6,@Lgedusabot1 @Heritage_Action @RandPaul As an American I can “thank” Rand Paul to support Putin in his war in Ukrain.,0
7,"@YourAnonNews Then do it i myself do not have the means to get the message out world wide but it has to be peacefull thats a must we all in the world have one war going with the idiot putin russia insid ukrain blowing the living hell out of ukrain we dont need a 2nd war or a nuk war",-1
8,"@whatsamatta_u Don't paint them with the same brush... both the Ukrainians & the Russian my surprise you, neither want this war, Putin does. I expect, there will be much less revenge from Ukrain...",0
9,"@Doublebogey79 @TechKriger @TheBrofucius @twinmom1123 @TimRunsHisMouth Lol a war that would be much worse with out allies or nato which trump wanted to destroy to help Putin. Putin attacked Ukrain and is murdering,raping women and children. and you blame Biden? Fry cooks are important too. U think you’re better cause you don’t cook for a living 🙄",-1
10,"@JanusvanderBerg @Bundeskanzler Maybe he finds that great.
@OlafScholz  has slowed many efforts to supply Ukrain with weapons and today, he again helps Putin. Maybe he would have been a Nazi had he lived in Germany 1945 : it seems that the massive russian war crimes do not bother him.",-1
11,Go Ukrain!!! 🇺🇦🙏🏼☮️ https://t.co/3OO52hrzSV,1
12,"As Putin's military deliberately kills women & children, Richard Haass advocates ""sophisticated"" diplomacy saying, ""differences over Ukraine need not preclude conducting mutually useful business if both sides are willing to compartmentalize."" Who paid him?
https://t.co/MoP1rgnQ3S",-1
13,"Gas is up again!  It’s all Putin’s fault !!  Sick of the blame game,,,and NO more money to Ukrain!! Not if we have to borrow from CHINA.....WAR is a terrible thing but America has sent enough.  Take that 40 million and help the families in America, the babies struggling for food",0
14,@MikeBetts43 @OzoneMethodOne @AmoneyResists Lets show our generosity by throwing billions of $ to the 20+ nations that are suffering from ongoing war. The only reason the democrats wants to send the money to ukrain is they want the ukrainians to fight their proxy war to fight against putin.,0
15,"@MarinaOnyshenko @RE_Perlov @TgLa7 Last year in Italy 1 milion person Lost the job due to covid crises. Now because they want punish Putin, we have electricity and gas bills 3 times higher , our Money instead improving hospitals are being spent on guns for ukrain.that Is not fare. This Is not our war.",0
16,"@Tiny_Dhillon @Vedmalik1 Sir Finland as independent nation is free to join any club Ukrain was made to break away from Russia n then Putin has every right to take it back . 
I AM FOR PEACE AND AGAINST WAR . 🇮🇳🙏🏻",1
17,"@alwy001 @KyivIndependent Russia cannot have a decade long war without the war reaching home to its towns and cities and getting reduced to Iran or North Korea.
Putin would lose power long before that. With international backing, Ukrain can prevail.
Russian capabilities have peaked.",0
18,"@emeriticus End if you support Putin who wants to nuke US (and he wants it long before war in Ukrain, just listen Russia TV, since 2008), you are pro American patriot of coarse, like Pedra",-1
19,@MMDiarra @SamRamani2 It sounds more like: if anything this whole Ukrain thing (aka Putin's war) is going to turn Russia into China's bitch rather sooner than later.,-1
20,"The Ukrain war needs to be stopped asap. Inflation, recession, threat of world war just after Covid aftermath is threatening global economy. Request leaders @JoeBiden @Plaid_Putin @BorisJohnson @MacronInEnglish @ZelenskiyNFT @narendramodi to please initiate dialogue to stop war!",1
21,@GlennFrese @WendyRogersAZ democrats have wonderful ideas and can run a country far better then republicans? when your failed policies bring high prices you look for scape goats like Putin and the Ukrain war. repeat on national tv 500 times a day untill you believe it to be true,-1
22,"@Tassitten @lukemcgee @alexstubb @charlyjsp @HakonSaxi Nato has started many wars in Africa and entire world in general that's why pope believe Nato started a war in Ukrain by barking at ""Putin's Door"" . I agree with pope Francis. They now has the opportunity to trade their Arms meaning more people are still going to die.",-1
23,"@InsiderNews @BusinessInsider One thing is clear: Putin has been at the helm of Russia since 1999 and been an utter failure in economic growth. In case Ukraine joins the EU, the Russians would start questioning Putin’s wisdom, following Ukrain’s economic growth. This war is a preemptive strike, nothing else!",0
24,"Gas Hikes, inflation, supply chain, protests, leaks, Woke, gender training for kids, Border crisis, crime, DA’s not charging criminals, Afganistan disaster, Ukrain war, Biden’s response:  “We are looking good” Putin’s fault.  Wake up!#IMPEACHBIDENNOW",0
25,"https://t.co/lYdifi9llT
We in NYC is Warning Finland not to join NATO while the war in Ukrain is complete Stay Nutral 
U know Putin is A Mad Man And he say He Don't Care of any Of we Human life why Anger him More he never even had it in mind 
Fear get it out of  be brave cowards",-1
